year,day,runners,duration,family,heridos
2011,Jueves 7,3600,02.30 min,Peñajara,4
2011,Viernes 8,3000,03.10 min,Cebada Gago,7
2011,Sábado 9,3300,02.55 min,Dolores Aguirre,3
2011,Domingo 10,3200,02.28 min,Eduardo Miura,10
2011,Lunes 11,2200,02.33 min,Fuente Ymbro,1
2011,Martes 12,1900,02.26 min,Victoriano del Rio,8
2011,Miércoles 13,1700,02.11 min,El Pilar,7
2011,Jueves 14,1600,02.20 min,Nuñez del Cubillo,3
2012,Sábado 7,3274,02.52 min,Dolores Aguirre,6
2012,Domingo 8,4234,02.29 min,Eduardo Miura,2
2012,Lunes 9,2898,03.38 min,Cebada Gago,7
2012,Martes 10,2289,02.22 min,El Pilar,5
2012,Miércoles 11,2106,03.12 min,Fuente Ymbro,2
2012,Jueves 12,2153,02.20 min,Victoriano del Río,6
2012,Viernes 13,1920,03.23 min,Juan P. Domecq,6
2012,Sábado 14,1795,02.33 min,Jandilla,4
2013,Domingo 7,3900,04.06 min,Alcurrucén,4
2013,Lunes 8,2591,02.25 min,Dolores Aguirre,4
2013,Martes 9,2093,02.27 min,Valdefresno,2
2013,Miércoles 10,1913,02.14 min,Victoriano del Río,3
2013,Jueves 11,1852,02.45 min,Torrestrella,2
2013,Viernes 12,2138,04.57 min,El Pilar,7
2013,Sábado 13,1932,04.15 min,Fuente Ymbro,23
2013,Domingo 14,1394,02.16 min,Eduardo Miura,5
2014,Lunes 7,3900,02.25 min,Torrestrella,5
2014,Martes 8,2591,02.31 min,Dolores Aguirre,3
2014,Miércoles 9,2093,03.32 min,Victoriano Del Rio,5
2014,Jueves 10,1913,02.30 min,Garcigrande,8
2014,Viernes 11,1852,02.27 min,Jandilla,7
2014,Sábado 12,2138,02.48 min,Fuerte Ymbro,3
2014,Domingo 13,1932,02.52 min,Adolfo Martín,4
2014,Lunes 14,1394,04.57 min,Eduardo Miura,7
